,Title,actor,actor_pred,headline stance,headline stance_pred
17,Local schools anticipate no changes after Critical Race Theory ban,educational practitioners,The CLASS of the headline: <CLASS3>,defending CRT,The CLASS of the headline: <CLASS1>
18,Continental school prohibits Critical Race Theory concepts in classrooms,educational practitioners,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
19,Biden signs Emmett Till Antilynching Act as CRT bans restrict talk of race,political influencers,The CLASS of the headline: <CLASS3>,defending CRT,The CLASS of the headline: <CLASS2>
20,"Critical Race Theory Aims to Turn Students Into  Red Guards , Chinese American Warns By Terri Wu",impacted actors,The CLASS of the headline: <CLASS3>,anti-CRT,The CLASS of the headline: <CLASS1>
21,GOP state lawmakers introduce 12 new bills to ban critical race theory,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
22,Critical Race Theory : Hoosier leaders share diverse views,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS2>
23,Where Are Black Parent Voices on Critical Race Theory ?,impacted actors,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS2>
24,New education policy bill takes aim at  critical race theory,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
25,Ilhan Omar claims Critical Race Theory not being taught in school :  Republicans love to create outrage,political influencers,The CLASS of the headline: <CLASS2>,defending CRT,The CLASS of the headline: <CLASS1>
26,"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",impacted actors,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
27,Indiana AG Todd Rokita leads multi - state effort to oppose critical race theory in schools,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
28,Critical race theory tip line from Va . governor sparks school concerns,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
29,Critical race theory  bill gets first vote from Kentucky lawmakers,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
30,Inside Southlake : Superintendent at the Center of a Critical Race Theory Battle Looks Forward,educational practitioners,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
31,Reuters Gaslights Readers About Critical Race Theory,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS3>
32,Georgia Gov . Urges Educators Not to Teach Critical Race Theory  Dangerous Ideology,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
33,"Hazel McFerson , scholar of critical race theory , dies at 78",none / other,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS3>
34,Indiana teachers predict mass exodus over CRT - inspired bill granting parental oversight,educational practitioners,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
35,House Republicans Investigate If COVID - 19 Relief Funds Were Used for CRT in Schools,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
36,Here The First State To Introduce Bill Banning Marxist Critical Race Theory From Public Schools : US : Christianity Daily,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
37,Critical race theory sticking point among Arkansas Senate District 22 candidates,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
38,"Critical Race Theory is Being Taught , and Has Been for Years , Tucker Carlson Highlights",political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
39,Schools swear they dont teach CRT . Theyre lying -- Society Child -- Sott . net,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
40,Critical race theory teach bans killed or stalled in many states,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
41,"Gov . DeSantis Goes on Offense Against CRT , Proposes Stop WOKE Act",political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
42,"Editorial : Need to teach critical thinking when teaching history , race",educational practitioners,The CLASS of the headline: <CLASS4>,defending CRT,The CLASS of the headline: <CLASS2>
43,"Fears about CRT , masks turned local races into battlegrounds",impacted actors,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
44,curiousKC | A Guide to Learn ( and Demystify ) Critical Race Theory,none / other,The CLASS of the headline: <CLASS4>,defending CRT,The CLASS of the headline: <CLASS2>
45,Youd better believe theyre teaching CRT in schools,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
46,Opinion | Let Talk About Critical Race Theory Bans in Schools,none / other,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS2>
47,Senate passes CRT Bill,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
48,Tennessee bans teaching of critical race theory in schools,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
49,Number of teachers pledging to teach Critical Race Theory in Surprise stagnates at two,educational practitioners,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
50,Nebraska governor backs university anti - CRT resolution amid backlash,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
51,The Push Against Teaching Critical Race Theory in Schools is Growing,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
52,Critical Race Theory Mississippi,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS3>
53,Scholar : The fight against CRT is one of national survival,none / other,The CLASS of the headline: <CLASS3>,anti-CRT,The CLASS of the headline: <CLASS1>
54,No new teachers in Downers Grove sign pledge on Sept . 19 to teach Critical Race Theory,educational practitioners,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
55,Critical race theory in the schools,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
56,Concerns About Critical Race Theory At The School Board Meeting,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
57,Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies,political influencers,The CLASS of the headline: <CLASS2>,anti-CRT,The CLASS of the headline: <CLASS3>
58,General Milley is clueless on critical race theory,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS3>
59,Teachers Unions Push CRT in Schools,educational practitioners,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
60,Department of Education wisely retreats from critical race theory,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS3>
61,Letter : A response to letter about Critical Race Theory,none / other,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS3>
62,LETTERS TO THE EDITOR : Lies about Critical Race Theory,none / other,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS2>
63,Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
64,Critical Race Theory Is a Potent Issue in the Virginia Governor Race,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
65,Critical Race Theory Bill Introduced In Senate,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
66,Ann Coulter : What Dumber Than CRT ? CNN,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS3>
67,Wisconsin assembly passes bill banning critical race theory in the classroom,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
68,No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory,educational practitioners,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
69,"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting",impacted actors,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
70,CRT In the Legislature,none / other,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
71,Critical Race Theory not taught in some local school districts,educational practitioners,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
72,How a Texas school got caught up the critical race theory fight,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
73,Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
74,Ted Cruz questions Ketanji Brown Jackson about  critical race theory,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS3>
75,Biden Ed . Dept : Pushing CRT activist handbook was an  error  | Politics News,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
76,Nick Reed PODCAST : 07 . 23 – CRT Popping Up In More MO Schools,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
77,The Left Assault on  Racist  Math Continues : DeSantis Rejects CRT - Riddled Textbooks,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
78,Indiana school administrator : Youd better believe we teach CRT -- and lie to parents about it,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
79,"Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Latest News",political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
80,So What The Deal With Critical Race Theory,none / other,The CLASS of the headline: <CLASS4>,neutral,The CLASS of the headline: <CLASS3>
81,COMMENTARY : The truth about CRT,none / other,The CLASS of the headline: <CLASS4>,neutral,The CLASS of the headline: <CLASS2>
82,McAuliffe cant define CRT but calls opponents  racist,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
83,Bill banning critical race theory in school advances,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
84,"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons",educational practitioners,The CLASS of the headline: <CLASS3>,anti-CRT,The CLASS of the headline: <CLASS1>
85,Report sparks debate over bans on critical race theory,none / other,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
86,Letter to the Editor : CRT is racism,none / other,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
87,10 Things in Politics : Educators Scramble Over CRT,educational practitioners,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
88,Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX,impacted actors,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
89,DeSantis hopes to block Critical Race Theory from Florida classrooms,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
90,Guest commentary : Legislation on critical race theory isnt a good idea,political influencers,The CLASS of the headline: <CLASS1>,defending CRT,The CLASS of the headline: <CLASS2>
91,Racist CRT Lessons in Public School Classrooms,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
92,Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
93,New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
94,Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
95,Republicans unveil bill to ban federal funding of critical race theory,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
96,Florida bans  critical race theory  from its classrooms,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
97,GOP : The Fight Against Critical Race Theory Has Only Just Begun,political influencers,The CLASS of the headline: <CLASS2>,anti-CRT,The CLASS of the headline: <CLASS1>
98,Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
99,"CRT : What it is , what to do",none / other,The CLASS of the headline: <CLASS4>,neutral,The CLASS of the headline: <CLASS2>
100,Critical race theory : The education trap,none / other,The CLASS of the headline: <CLASS4>,anti-CRT,The CLASS of the headline: <CLASS2>
101,The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
102,Republicans Move Against Teaching Critical Race Theory in Schools,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
103,PODCAST : 05 . 22 - Critical Race Theory,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS3>
104,Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
105,Gov . Youngkin Defends Ending CRT In Virginia School Children Education,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
106,Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida,none / other,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
107,Joe Biden Wants to Take Critical Race Theory to the Next Level,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
108,Anti - CRT  school board candidates are winning,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
109,"Critical race theory : Myths , Marxism and more",none / other,The CLASS of the headline: <CLASS4>,anti-CRT,The CLASS of the headline: <CLASS2>
110,Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists,impacted actors,The CLASS of the headline: <CLASS3>,anti-CRT,The CLASS of the headline: <CLASS1>
111,Critical race theory undermines military effectiveness,none / other,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS3>
112,The Battle Against Critical Race Theory,none / other,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
113,"Masks , critical race theory affecting school board races",political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
114,New e - book aims to help parents  combat  CRT in schools,impacted actors,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
115,Bill banning critical race theory in Arizona heads to committee,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
116,Educators Sue Missouri School District for Critical Race Theory Training,educational practitioners,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
117,Critical Race Theory : What Christians Need to Know,none / other,The CLASS of the headline: <CLASS4>,anti-CRT,The CLASS of the headline: <CLASS2>
118,Parents against critical race theory,impacted actors,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
119,Let honor Martin Luther King Jr . today by rejecting critical race theory,none / other,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
120,FLORIDA SAYS  NO : DeSantis Unveils  Stop WOKE Act  to Remove CRT from  Schools and Workplaces,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
121,Moms Threatened With Lawsuit For Questioning CRT Curriculum,impacted actors,The CLASS of the headline: <CLASS3>,anti-CRT,The CLASS of the headline: <CLASS1>
122,Teachers union will defend members on critical race theory,educational practitioners,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
123,Masks And CRT Are Just The Start : It Time To Break Public Schools,none / other,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
124,Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
125,Georgia Board of Education targets teaching of  critical race theory  | State,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
126,Oklahoma House OKs ban on teaching critical race theory,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
127,CRT is dividing Democrats and rallying Republicans,political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
128,Biden Set to Push Critical Race Theory on U . S . Schools,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
129,What Is Critical Race Theory Anyway ?,none / other,The CLASS of the headline: <CLASS4>,neutral,The CLASS of the headline: <CLASS2>
130,"Space Force Officer Relieved After Denouncing Marxism , Critical Race Theory in Military",political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
131,Critical race theory discussions surface across county,none / other,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
132,Demonizing Critical Race Theory | History News Network,none / other,The CLASS of the headline: <CLASS1>,defending CRT,The CLASS of the headline: <CLASS2>
133,Florida rejects 54 new math textbooks citing critical race theory,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
134,Tenn . House passes bill to ban funding of schools teaching CRT | Politics,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
135,"UCLA database reveals well - funded push for critical race theory , argues Cornell law professor",political influencers,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS2>
136,Bill Banning Critical Race Theory Fails Introduction in Wyoming,political influencers,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
137,"100 % projection : Joy Reid slammed for smearing opponents of CRT as racist , terrified radicals",political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
138,Parents Defending Education fights critical race theory in schools,impacted actors,The CLASS of the headline: <CLASS1>,neutral,The CLASS of the headline: <CLASS1>
