Title,actor,action,action direction,headline stance,notes,
Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies,none / other,protest / speaking out,defending CRT,defending CRT,,
General Milley is clueless on critical race theory,political influencers,threats/extent,neutral,neutral,,
Teachers Unions Push CRT in Schools,educational practitioners,threats/extent,defending CRT,neutral,,
Department of Education wisely retreats from critical race theory,educational practitioners,threats/extent,neutral,neutral,,
What to look for in a CRT monitor : The ultimate guide for retro gamers,none / other,none/other,neutral,neutral,i think this article relates to a type of monitor for gaming,
Letter : A response to letter about Critical Race Theory,none / other,none/other,neutral,neutral,,
LETTERS TO THE EDITOR : Lies about Critical Race Theory,none / other,protest / speaking out,neutral,neutral,,
Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory,political influencers,policy & legal,anti-CRT,neutral,,
Freddie Mac CRT Program Reports 2021 Issuance Of Nearly $20B,none / other,none/other,neutral,neutral,,
Critical Race Theory Is a Potent Issue in the Virginia Governor Race,political influencers,elections,neutral,neutral,,
Critical Race Theory Bill Introduced In Senate,political influencers,policy & legal,neutral,neutral,,
Ann Coulter : What Dumber Than CRT ? CNN,political influencers,none/other,anti-CRT,anti-CRT,,
Wisconsin assembly passes bill banning critical race theory in the classroom,political influencers,policy & legal,anti-CRT,neutral,,
No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory,educational practitioners,threats/extent,anti-CRT,neutral,,
"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting",impacted actors,protest / speaking out,anti-CRT,neutral,,
CRT In the Legislature,none / other,none/other,neutral,neutral,,
Critical Race Theory not taught in some local school districts,educational practitioners,threats/extent,anti-CRT,neutral,,
How a Texas school got caught up the critical race theory fight,educational practitioners,none/other,neutral,neutral,,
COMMENTARY : The truth about CRT,none / other,none/other,neutral,neutral,,
Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else,educational practitioners,threats/extent,defending CRT,anti-CRT,,
Ted Cruz questions Ketanji Brown Jackson about  critical race theory,political influencers,protest / speaking out,anti-CRT,neutral,,
Biden Ed . Dept : Pushing CRT activist handbook was an  error  | Politics News,political influencers,none/other,anti-CRT,neutral,,
Nick Reed PODCAST : 07 . 23 – CRT Popping Up In More MO Schools,educational practitioners,protest / speaking out,anti-CRT,neutral,,
The Left Assault on  Racist  Math Continues : DeSantis Rejects CRT - Riddled Textbooks,political influencers,threats/extent,anti-CRT,anti-CRT,,
Indiana school administrator : Youd better believe we teach CRT -- and lie to parents about it,educational practitioners,threats/extent,defending CRT,neutral,,
"Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Latest News",none / other,threats/extent,defending CRT,anti-CRT,,
So What The Deal With Critical Race Theory,none / other,none/other,neutral,neutral,,
COMMENTARY : The truth about CRT,political influencers,protest / speaking out,neutral,neutral,,
McAuliffe cant define CRT but calls opponents  racist,political influencers,none/other,anti-CRT,neutral,,
Bill banning critical race theory in school advances,none / other,policy & legal,anti-CRT,neutral,,
"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons",educational practitioners,policy & legal,defending CRT,anti-CRT,,
Report sparks debate over bans on critical race theory,none / other,policy & legal,anti-CRT,neutral,could also be protest/speaking out because it's a debate,
Letter to the Editor : CRT is racism,impacted actors,protest / speaking out,anti-CRT,anti-CRT,,
10 Things in Politics : Educators Scramble Over CRT,educational practitioners,threats/extent,neutral,neutral,,
Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX,impacted actors,protest / speaking out,anti-CRT,anti-CRT,,
DeSantis hopes to block Critical Race Theory from Florida classrooms,political influencers,policy & legal,anti-CRT,anti-CRT,,
Guest commentary : Legislation on critical race theory isnt a good idea,none / other,policy & legal,anti-CRT,anti-CRT,,
Racist CRT Lessons in Public School Classrooms,educational practitioners,threats/extent,anti-CRT,anti-CRT,,
Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory,political influencers,protest / speaking out,anti-CRT,neutral,,
New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools,educational practitioners,threats/extent,defending CRT,anti-CRT,,
Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools,political influencers,policy & legal,anti-CRT,neutral,,
Republicans unveil bill to ban federal funding of critical race theory,political influencers,policy & legal,anti-CRT,neutral,,
Florida bans  critical race theory  from its classrooms,educational practitioners,policy & legal,anti-CRT,neutral,,
GOP : The Fight Against Critical Race Theory Has Only Just Begun,political influencers,none/other,anti-CRT,anti-CRT,,
Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post,political influencers,protest / speaking out,anti-CRT,anti-CRT,,
"CRT : What it is , what to do",none / other,none/other,neutral,neutral,,
Critical race theory : The education trap,educational practitioners,none/other,anti-CRT,neutral,,
The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools,educational practitioners,none/other,anti-CRT,anti-CRT,,
Republicans Move Against Teaching Critical Race Theory in Schools,political influencers,policy & legal,anti-CRT,neutral,,
PODCAST : 05 . 22 - Critical Race Theory,none / other,none/other,neutral,neutral,,
Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban,political influencers,policy & legal,defending CRT,neutral,,
Gov . Youngkin Defends Ending CRT In Virginia School Children Education,political influencers,protest / speaking out,defending CRT,neutral,,
Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida,none / other,threats/extent,anti-CRT,anti-CRT,,
Joe Biden Wants to Take Critical Race Theory to the Next Level,political influencers,policy & legal,neutral,neutral,,
Anti - CRT  school board candidates are winning,political influencers,elections,anti-CRT,neutral,,
"Critical race theory : Myths , Marxism and more",none / other,none/other,neutral,neutral,,
Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists,impacted actors,protest / speaking out,anti-CRT,neutral,,
Critical race theory undermines military effectiveness,none / other,none/other,anti-CRT,anti-CRT,,
The Battle Against Critical Race Theory,none / other,protest / speaking out,anti-CRT,anti-CRT,,
"Masks , critical race theory affecting school board races",political influencers,elections,anti-CRT,anti-CRT,,
New e - book aims to help parents  combat  CRT in schools,impacted actors,protest / speaking out,anti-CRT,anti-CRT,,
Bill banning critical race theory in Arizona heads to committee,political influencers,policy & legal,anti-CRT,neutral,,
Educators Sue Missouri School District for Critical Race Theory Training,educational practitioners,policy & legal,anti-CRT,neutral,,
Critical Race Theory : What Christians Need to Know,none / other,protest / speaking out,anti-CRT,anti-CRT,,
Parents against critical race theory,impacted actors,none/other,anti-CRT,neutral,,
Let honor Martin Luther King Jr . today by rejecting critical race theory,none / other,protest / speaking out,anti-CRT,anti-CRT,,
FLORIDA SAYS  NO : DeSantis Unveils  Stop WOKE Act  to Remove CRT from  Schools and Workplaces,political influencers,policy & legal,anti-CRT,anti-CRT,,
CRT Boosts Heart Failure Survival in Extended Follow - Up,none / other,none/other,neutral,neutral,,
Moms Threatened With Lawsuit For Questioning CRT Curriculum,impacted actors,policy & legal,defending CRT,neutral,,
Short Interest in Cross Timbers Royalty Trust ( NYSE : CRT ) Grows By 333 . 3 %,none / other,none/other,neutral,neutral,,
Teachers union will defend members on critical race theory,educational practitioners,protest / speaking out,defending CRT,neutral,,
Masks And CRT Are Just The Start : It Time To Break Public Schools,impacted actors,protest / speaking out,anti-CRT,anti-CRT,,
Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools,political influencers,policy & legal,anti-CRT,neutral,,
Georgia Board of Education targets teaching of  critical race theory  | State,political influencers,policy & legal,anti-CRT,neutral,,
Oklahoma House OKs ban on teaching critical race theory,political influencers,policy & legal,anti-CRT,neutral,,
CRT is dividing Democrats and rallying Republicans,political influencers,elections,neutral,neutral,,
Biden Set to Push Critical Race Theory on U . S . Schools,political influencers,protest / speaking out,defending CRT,neutral,,
What Is Critical Race Theory Anyway ?,none / other,protest / speaking out,neutral,neutral,,
"Space Force Officer Relieved After Denouncing Marxism , Critical Race Theory in Military",none / other,none/other,defending CRT,neutral,,
Critical race theory discussions surface across county,impacted actors,protest / speaking out,neutral,neutral,,
Demonizing Critical Race Theory | History News Network,none / other,threats/extent,anti-CRT,anti-CRT,,
Florida rejects 54 new math textbooks citing critical race theory,political influencers,threats/extent,anti-CRT,neutral,,
Tenn . House passes bill to ban funding of schools teaching CRT | Politics,political influencers,policy & legal,anti-CRT,neutral,,
"UCLA database reveals well - funded push for critical race theory , argues Cornell law professor",educational practitioners,protest / speaking out,defending CRT,neutral,,
Bill Banning Critical Race Theory Fails Introduction in Wyoming,political influencers,policy & legal,defending CRT,neutral,,
"100 % projection : Joy Reid slammed for smearing opponents of CRT as racist , terrified radicals",political influencers,protest / speaking out,defending CRT,anti-CRT,,
Parents Defending Education fights critical race theory in schools,impacted actors,protest / speaking out,anti-CRT,neutral,,
