Title,actor,action,action direction,headline stance
Continental school prohibits Critical Race Theory concepts in classrooms,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Biden signs Emmett Till Antilynching Act as CRT bans restrict talk of race,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<DEFENDING CRT>
"Critical Race Theory Aims to Turn Students Into  Red Guards , Chinese American Warns By Terri Wu",<IMPACTED ACTOR>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
GOP state lawmakers introduce 12 new bills to ban critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Critical Race Theory : Hoosier leaders share diverse views,<POLITICAL INFLUENCER>,<PROTEST / SPEAKING OUT>,<NEUTRAL>,<NEUTRAL>
Where Are Black Parent Voices on Critical Race Theory ?,<IMPACTED ACTOR>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
New education policy bill takes aim at  critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Ilhan Omar claims Critical Race Theory not being taught in school :  Republicans love to create outrage,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<DEFENDING CRT>
"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",<POLITICAL INFLUENCER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
Indiana AG Todd Rokita leads multi - state effort to oppose critical race theory in schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Critical race theory tip line from Va . governor sparks school concerns,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Critical race theory  bill gets first vote from Kentucky lawmakers,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Inside Southlake : Superintendent at the Center of a Critical Race Theory Battle Looks Forward,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Reuters Gaslights Readers About Critical Race Theory,<NONE/OTHER>,<NONE/OTHER>,<ANTI-CRT>,<ANTI-CRT>
Georgia Gov . Urges Educators Not to Teach Critical Race Theory  Dangerous Ideology,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
"Hazel McFerson , scholar of critical race theory , dies at 78",<EDUCATIONAL PRACTITIONER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
Indiana teachers predict mass exodus over CRT - inspired bill granting parental oversight,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<DEFENDING CRT>
House Republicans Investigate If COVID - 19 Relief Funds Were Used for CRT in Schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Here The First State To Introduce Bill Banning Marxist Critical Race Theory From Public Schools : US : Christianity Daily,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Critical race theory sticking point among Arkansas Senate District 22 candidates,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
"Critical Race Theory is Being Taught , and Has Been for Years , Tucker Carlson Highlights",<POLITICAL INFLUENCER>,<THREATS / EXTENT>,<DEFENDING CRT>,<ANTI-CRT>
Schools swear they dont teach CRT . Theyre lying -- Society Child -- Sott . net,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
Critical race theory teach bans killed or stalled in many states,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<DEFENDING CRT>
"Gov . DeSantis Goes on Offense Against CRT , Proposes Stop WOKE Act",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
"Editorial : Need to teach critical thinking when teaching history , race",<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<DEFENDING CRT>
"Fears about CRT , masks turned local races into battlegrounds",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
curiousKC | A Guide to Learn ( and Demystify ) Critical Race Theory,<NONE/OTHER>,<NONE/OTHER>,<DEFENDING CRT>,<DEFENDING CRT>
Youd better believe theyre teaching CRT in schools,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<DEFENDING CRT>,<ANTI-CRT>
Opinion | Let Talk About Critical Race Theory Bans in Schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Senate passes CRT Bill,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Tennessee bans teaching of critical race theory in schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Number of teachers pledging to teach Critical Race Theory in Surprise stagnates at two,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<NEUTRAL>,<NEUTRAL>
Nebraska governor backs university anti - CRT resolution amid backlash,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
The Push Against Teaching Critical Race Theory in Schools is Growing,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Critical Race Theory Mississippi,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
Scholar : The fight against CRT is one of national survival,<POLITICAL INFLUENCER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
No new teachers in Downers Grove sign pledge on Sept . 19 to teach Critical Race Theory,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Critical race theory in the schools,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<NEUTRAL>,<NEUTRAL>
Concerns About Critical Race Theory At The School Board Meeting,<POLITICAL INFLUENCER>,<PROTEST / SPEAKING OUT>,<NEUTRAL>,<NEUTRAL>
Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies,<POLITICAL INFLUENCER>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
General Milley is clueless on critical race theory,<POLITICAL INFLUENCER>,<NONE/OTHER>,<ANTI-CRT>,<ANTI-CRT>
Teachers Unions Push CRT in Schools,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<DEFENDING CRT>,<ANTI-CRT>
Department of Education wisely retreats from critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Letter : A response to letter about Critical Race Theory,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
LETTERS TO THE EDITOR : Lies about Critical Race Theory,<NONE/OTHER>,<NONE/OTHER>,<DEFENDING CRT>,<DEFENDING CRT>
Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Critical Race Theory Is a Potent Issue in the Virginia Governor Race,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Critical Race Theory Bill Introduced In Senate,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Ann Coulter : What Dumber Than CRT ? CNN,<POLITICAL INFLUENCER>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
Wisconsin assembly passes bill banning critical race theory in the classroom,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting",<IMPACTED ACTOR>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<NEUTRAL>
CRT In the Legislature,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Critical Race Theory not taught in some local school districts,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<NEUTRAL>,<NEUTRAL>
How a Texas school got caught up the critical race theory fight,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
Ted Cruz questions Ketanji Brown Jackson about  critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Biden Ed . Dept : Pushing CRT activist handbook was an  error  | Politics News,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Nick Reed PODCAST : 07 . 23 ‚Äì CRT Popping Up In More MO Schools,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<NEUTRAL>,<ANTI-CRT>
The Left Assault on  Racist  Math Continues : DeSantis Rejects CRT - Riddled Textbooks,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Indiana school administrator : Youd better believe we teach CRT -- and lie to parents about it,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<DEFENDING CRT>,<ANTI-CRT>
"Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Latest News",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<ANTI-CRT>
So What The Deal With Critical Race Theory,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
COMMENTARY : The truth about CRT,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
McAuliffe cant define CRT but calls opponents  racist,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Bill banning critical race theory in school advances,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons",<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Report sparks debate over bans on critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Letter to the Editor : CRT is racism,<NONE/OTHER>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
10 Things in Politics : Educators Scramble Over CRT,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX,<IMPACTED ACTOR>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
DeSantis hopes to block Critical Race Theory from Florida classrooms,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Guest commentary : Legislation on critical race theory isnt a good idea,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<DEFENDING CRT>
Racist CRT Lessons in Public School Classrooms,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<DEFENDING CRT>
New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Republicans unveil bill to ban federal funding of critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Florida bans  critical race theory  from its classrooms,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
GOP : The Fight Against Critical Race Theory Has Only Just Begun,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post,<POLITICAL INFLUENCER>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
"CRT : What it is , what to do",<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
Critical race theory : The education trap,<NONE/OTHER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<NEUTRAL>,<ANTI-CRT>
Republicans Move Against Teaching Critical Race Theory in Schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
PODCAST : 05 . 22 - Critical Race Theory,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Gov . Youngkin Defends Ending CRT In Virginia School Children Education,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Joe Biden Wants to Take Critical Race Theory to the Next Level,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<ANTI-CRT>
Anti - CRT  school board candidates are winning,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
"Critical race theory : Myths , Marxism and more",<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<ANTI-CRT>
Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists,<IMPACTED ACTOR>,<PROTEST / SPEAKING OUT>,<DEFENDING CRT>,<DEFENDING CRT>
Critical race theory undermines military effectiveness,<NONE/OTHER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
The Battle Against Critical Race Theory,<NONE/OTHER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
"Masks , critical race theory affecting school board races",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
New e - book aims to help parents  combat  CRT in schools,<IMPACTED ACTOR>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
Bill banning critical race theory in Arizona heads to committee,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Educators Sue Missouri School District for Critical Race Theory Training,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<NEUTRAL>
Critical Race Theory : What Christians Need to Know,<IMPACTED ACTOR>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
Parents against critical race theory,<IMPACTED ACTOR>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
Let honor Martin Luther King Jr . today by rejecting critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
FLORIDA SAYS  NO : DeSantis Unveils  Stop WOKE Act  to Remove CRT from  Schools and Workplaces,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Moms Threatened With Lawsuit For Questioning CRT Curriculum,<IMPACTED ACTOR>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Teachers union will defend members on critical race theory,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<DEFENDING CRT>
Masks And CRT Are Just The Start : It Time To Break Public Schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Georgia Board of Education targets teaching of  critical race theory  | State,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Oklahoma House OKs ban on teaching critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
CRT is dividing Democrats and rallying Republicans,<POLITICAL INFLUENCER>,<THREATS / EXTENT>,<NEUTRAL>,<NEUTRAL>
Biden Set to Push Critical Race Theory on U . S . Schools,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<ANTI-CRT>
What Is Critical Race Theory Anyway ?,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
"Space Force Officer Relieved After Denouncing Marxism , Critical Race Theory in Military",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Critical race theory discussions surface across county,<NONE/OTHER>,<THREATS / EXTENT>,<NEUTRAL>,<NEUTRAL>
Demonizing Critical Race Theory | History News Network,<NONE/OTHER>,<THREATS / EXTENT>,<ANTI-CRT>,<DEFENDING CRT>
Florida rejects 54 new math textbooks citing critical race theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Tenn . House passes bill to ban funding of schools teaching CRT | Politics,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
"UCLA database reveals well - funded push for critical race theory , argues Cornell law professor",<POLITICAL INFLUENCER>,<THREATS / EXTENT>,<DEFENDING CRT>,<ANTI-CRT>
Bill Banning Critical Race Theory Fails Introduction in Wyoming,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<NEUTRAL>
"100 % projection : Joy Reid slammed for smearing opponents of CRT as racist , terrified radicals",<POLITICAL INFLUENCER>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
Parents Defending Education fights critical race theory in schools,<IMPACTED ACTOR>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
