,Topic,Count,Name,Representation,Representative_Docs
10,9,193,9_texas legislature_texas schools_taught texas_schools texas,"['texas legislature', 'texas schools', 'taught texas', 'schools texas', 'texas school', 'texas lawmakers', 'texas bill', 'texas public', 'law texas', 'texas senate']","['The Texas Legislature Has Targeted Critical Race , But Is It Being Taught In Texas Public Schools ? ', 'Texas Passes Bill Banning Critical Race Theory From', 'No  Critical Race Theory  in Texas Schools']"
11,10,153,10_desantis conservatives_schools desantis_ron desantis_desantis slams,"['desantis conservatives', 'schools desantis', 'ron desantis', 'desantis slams', 'desantis proposes', 'classrooms desantis', 'targeting schools', 'desantis says', 'ban desantis', 'gov desantis']","['Ron DeSantis : Florida Schools Will Not Teach Critical Race Theory', 'Gov . Ron DeSantis Vows to Ban Critical Race Theory in Florida Schools', 'DeSantis : Critical race theory is']"
12,11,151,11_ban florida_florida ban_florida bans_banned florida,"['ban florida', 'florida ban', 'florida bans', 'banned florida', 'bans classrooms', 'banning classrooms', 'florida education', 'florida news', 'florida classrooms', 'taught florida']","['Critical Race Theory Banned In Florida Classrooms', 'LISTEN : Bill to Widen Ban on Critical Race Theory in Florida | NewsRadio WFLA', 'LISTEN : Bill to Widen Ban on Critical Race Theory in Florida']"
13,12,118,12_southern baptists_southern baptist_baptist convention_baptist leaders,"['southern baptists', 'southern baptist', 'baptist convention', 'baptist leaders', 'baptist meeting', 'baptists', 'baptist', 'baptists face', 'page southern', 'baptist seminary']","['Southern Baptist Convention 2021 : Critical race theory on agenda', 'Southern Baptist Convention battle over critical race theory', 'Critical Race Theory and the Southern Baptist Church']"
14,13,110,13_biden education_schools biden_biden schools_education biden,"['biden education', 'schools biden', 'biden schools', 'education biden', 'biden pushing', 'biden fight', 'biden administration', 'biden democrats', 'biden embrace', 'biden']","['RIGHT SPEAK : Biden Set to Push Critical Race Theory on U . S . Schools ; Joe Biden Is Using Your Tax Dollars To Make American Kids Hate Their Country , and related stories', 'Biden Admin Promotes Radical Group Pushing Critical Race Theory in Schools', 'Biden admin promotes radical group pushing critical race theory in schools']"
15,14,106,14_dakota bans_dakota legislature_dakota noem_dakota ban,"['dakota bans', 'dakota legislature', 'dakota noem', 'dakota ban', 'dakota lawmakers', 'dakota gov', 'gov kristi', 'dakota schools', 'legislation blocking', 'dakota senate']","['South Dakota Gov . Kristi Noem announces legislation blocking critical race theory', 'South Dakota Gov . Kristi Noem Announces Legislation Blocking Critical Race Theory', 'South Dakota Gov . Noem bans federal grants for critical race theory']"
16,15,104,15_explainer nbc_nbc south_debate_diversity identity,"['explainer nbc', 'nbc south', 'debate', 'diversity identity', 'tag nbc', 'nbc san', 'nbc', 'nbc connecticut', 'nbc new', 'nbc10']","['Tag : critical race theory – NBC Bay Area', 'EXPLAINER : What Is Critical Race Theory ? – NBC Bay Area', 'EXPLAINER : What Is Critical Race Theory ? – NBC Connecticut']"
17,16,100,16_racist letters_racist_letter threat_letter violates,"['racist letters', 'racist', 'letter threat', 'letter violates', 'letter fight', 'letter article', 'letter', 'letters attack', 'letters important', 'issue letter']","['Letter : Critical race theory', 'Letter to the editor : Critical race theory', 'Letter to the Editor : Re : Critical race theory']"
18,17,93,17_rufo debate_christopher rufo_rufo msnbc_chris rufo,"['rufo debate', 'christopher rufo', 'rufo msnbc', 'chris rufo', 'reid advocates', 'rufo fighting', 'debate christopher', 'rufo responds', 'rufo', 'rufo takes']","['MSNBC Joy Reid invites Christopher Rufo to debate critical race theory , barely allows him to speak', 'MSNBC Joy Reid finally has Christopher Rufo on as a guest to discuss critical race theory', 'Critical Race Theory critic , conservative activist Christopher Rufo debates Joy Reid']"
19,18,92,18_racism banning_fight racism_ban states_banned states,"['racism banning', 'fight racism', 'ban states', 'banned states', 'bans threaten', 'ban banning', 'banning', 'legislation ban', 'efforts ban', 'case banning']","['States must fight racism by banning critical race theory | American Enterprise Institute', 'Banning Critical Race Theory', 'Ban Critical Race Theory Now']"
20,19,91,19_racist ted_cruz questions_sen cruz_cruz slams,"['racist ted', 'cruz questions', 'sen cruz', 'cruz slams', 'cruz interjects', 'cruz', 'ted cruz', 'cruz asks', 'brown jackson', 'sen ted']","['Ted Cruz Presses SCOTUS Nominee Ketanji Brown Jackson on Critical Race Theory', 'Ted Cruz Presses Ketanji Brown Jackson on CRT', 'Ted Cruz questions Ketanji Brown Jackson about  critical race theory  ']"
21,20,89,20_virginia gubernatorial_governor virginia_virginia governor_virginia voters,"['virginia gubernatorial', 'governor virginia', 'virginia governor', 'virginia voters', 'virginia election', 'election virginia', 'issue virginia', 'governor slams', 'gubernatorial', 'virginia gop']","['Critical race theory at center of Virginia governor race', 'Critical Race Theory Is a Potent Issue in the Virginia Governor Race', 'Critical race theory becomes a top issue in Virginia governor race']"
22,21,85,21_glenn youngkin_youngkin campaign_mcauliffe youngkin_gov youngkin,"['glenn youngkin', 'youngkin campaign', 'mcauliffe youngkin', 'gov youngkin', 'governor youngkin', 'youngkin opposition', 'youngkin really', 'youngkin bans', 'youngkin youngkin', 'youngkin']","['Gov . Glenn Youngkin bans Critical Race Theory from K - 12 schools', 'Glenn Youngkin Slams Liberal Opponent Terry McAuliffe For Calling Critical Race Theory Concerns A  Right - Wing Conspiracy  ', 'Glenn Youngkin Bans Critical Race Theory in Public Schools']"
