Title,actor,action,action direction,headline stance,
Wisconsin assembly passes bill banning critical race theory in the classroom,political influencers,policy & legal,anti-CRT,neutral,
No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory,educational practitioners,protest / speaking out,anti-CRT,neutral,
"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting",impacted actors,protest / speaking out,anti-CRT,neutral,
CRT In the Legislature,political influencers,policy & legal,neutral,neutral,
Critical Race Theory not taught in some local school districts,educational practitioners,threats/extent,neutral,neutral,
How a Texas school got caught up the critical race theory fight,impacted actors,threats/extent,anti-CRT,neutral,
COMMENTARY : The truth about CRT,none / other,threats/extent,neutral,neutral,
Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else,educational practitioners,threats/extent,defending CRT,anti-CRT,
Ted Cruz questions Ketanji Brown Jackson about  critical race theory,political influencers,protest / speaking out,anti-CRT,neutral,
Biden Ed . Dept : Pushing CRT activist handbook was an  error  | Politics News,political influencers,threats/extent,neutral,neutral,
Nick Reed PODCAST : 07 . 23 ‚Äì CRT Popping Up In More MO Schools,educational practitioners,threats/extent,defending CRT,anti-CRT,
The Left Assault on  Racist  Math Continues : DeSantis Rejects CRT - Riddled Textbooks,political influencers,threats/extent,anti-CRT,anti-CRT,
Indiana school administrator : Youd better believe we teach CRT -- and lie to parents about it,educational practitioners,threats/extent,anti-CRT,anti-CRT,
"Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Latest News",political influencers,threats/extent,defending CRT,anti-CRT,
So What The Deal With Critical Race Theory,none / other,none/other,neutral,neutral,
COMMENTARY : The truth about CRT,none / other,threats/extent,neutral,neutral,
McAuliffe cant define CRT but calls opponents  racist,political influencers,protest / speaking out,anti-CRT,defending CRT,
Bill banning critical race theory in school advances,political influencers,policy & legal,anti-CRT,neutral,
"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons",educational practitioners,threats/extent,anti-CRT,neutral,
Report sparks debate over bans on critical race theory,none / other,policy & legal,neutral,neutral,
Letter to the Editor : CRT is racism,impacted actors,threats/extent,anti-CRT,anti-CRT,
10 Things in Politics : Educators Scramble Over CRT,educational practitioners,threats/extent,neutral,neutral,
Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX,impacted actors,protest / speaking out,anti-CRT,neutral,
DeSantis hopes to block Critical Race Theory from Florida classrooms,political influencers,policy & legal,anti-CRT,neutral,
Guest commentary : Legislation on critical race theory isnt a good idea,political influencers,policy & legal,defending CRT,defending CRT,
Racist CRT Lessons in Public School Classrooms,educational practitioners,threats/extent,neutral,anti-CRT,
Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory,political influencers,policy & legal,defending CRT,neutral,
New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools,educational practitioners,threats/extent,anti-CRT,anti-CRT,
Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools,political influencers,policy & legal,anti-CRT,neutral,
Republicans unveil bill to ban federal funding of critical race theory,political influencers,policy & legal,anti-CRT,neutral,
Florida bans  critical race theory  from its classrooms,political influencers,policy & legal,anti-CRT,neutral,
GOP : The Fight Against Critical Race Theory Has Only Just Begun,political influencers,none/other,anti-CRT,neutral,
Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post,political influencers,protest / speaking out,anti-CRT,neutral,
"CRT : What it is , what to do",none / other,none/other,neutral,neutral,
Critical race theory : The education trap,educational practitioners,none/other,anti-CRT,anti-CRT,
The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools,none / other,protest / speaking out,neutral,neutral,
Republicans Move Against Teaching Critical Race Theory in Schools,political influencers,threats/extent,anti-CRT,neutral,
PODCAST : 05 . 22 - Critical Race Theory,none / other,none/other,neutral,neutral,
Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban,educational practitioners,policy & legal,anti-CRT,anti-CRT,
Gov . Youngkin Defends Ending CRT In Virginia School Children Education,political influencers,policy & legal,anti-CRT,anti-CRT,
Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida,none / other,policy & legal,anti-CRT,neutral,
Joe Biden Wants to Take Critical Race Theory to the Next Level,political influencers,threats/extent,defending CRT,anti-CRT,
Anti - CRT  school board candidates are winning,political influencers,elections,anti-CRT,neutral,
"Critical race theory : Myths , Marxism and more",none / other,threats/extent,anti-CRT,anti-CRT,
Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists,impacted actors,protest / speaking out,anti-CRT,anti-CRT,
Critical race theory undermines military effectiveness,none / other,threats/extent,anti-CRT,anti-CRT,
The Battle Against Critical Race Theory,none / other,none/other,anti-CRT,neutral,
"Masks , critical race theory affecting school board races",political influencers,elections,neutral,neutral,
New e - book aims to help parents  combat  CRT in schools,impacted actors,protest / speaking out,anti-CRT,anti-CRT,
Bill banning critical race theory in Arizona heads to committee,political influencers,policy & legal,anti-CRT,neutral,
Educators Sue Missouri School District for Critical Race Theory Training,educational practitioners,policy & legal,anti-CRT,neutral,
Critical Race Theory : What Christians Need to Know,impacted actors,threats/extent,neutral,neutral,
Parents against critical race theory,impacted actors,protest / speaking out,anti-CRT,anti-CRT,
Let honor Martin Luther King Jr . today by rejecting critical race theory,none / other,protest / speaking out,anti-CRT,anti-CRT,
FLORIDA SAYS  NO : DeSantis Unveils  Stop WOKE Act  to Remove CRT from  Schools and Workplaces,political influencers,policy & legal,anti-CRT,anti-CRT,
CRT Boosts Heart Failure Survival in Extended Follow - Up,,,,,not relevant
Moms Threatened With Lawsuit For Questioning CRT Curriculum,impacted actors,policy & legal,anti-CRT,anti-CRT,
Short Interest in Cross Timbers Royalty Trust ( NYSE : CRT ) Grows By 333 . 3 %,,,,,not relevant
Teachers union will defend members on critical race theory,educational practitioners,protest / speaking out,defending CRT,defending CRT,
Masks And CRT Are Just The Start : It Time To Break Public Schools,none / other,threats/extent,anti-CRT,anti-CRT,
Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools,political influencers,policy & legal,anti-CRT,neutral,
Georgia Board of Education targets teaching of  critical race theory  | State,political influencers,policy & legal,anti-CRT,neutral,
Oklahoma House OKs ban on teaching critical race theory,political influencers,policy & legal,anti-CRT,neutral,
CRT is dividing Democrats and rallying Republicans,impacted actors,none/other,neutral,neutral,
Biden Set to Push Critical Race Theory on U . S . Schools,political influencers,policy & legal,defending CRT,anti-CRT,
What Is Critical Race Theory Anyway ?,none / other,none/other,neutral,neutral,
"Space Force Officer Relieved After Denouncing Marxism , Critical Race Theory in Military",political influencers,protest / speaking out,anti-CRT,anti-CRT,
Critical race theory discussions surface across county,none / other,protest / speaking out,neutral,neutral,
Demonizing Critical Race Theory | History News Network,none / other,none/other,anti-CRT,defending CRT,
Florida rejects 54 new math textbooks citing critical race theory,political influencers,policy & legal,anti-CRT,neutral,
Tenn . House passes bill to ban funding of schools teaching CRT | Politics,political influencers,policy & legal,anti-CRT,neutral,
"UCLA database reveals well - funded push for critical race theory , argues Cornell law professor",political influencers,threats/extent,defending CRT,anti-CRT,
Bill Banning Critical Race Theory Fails Introduction in Wyoming,political influencers,policy & legal,defending CRT,neutral,
"100 % projection : Joy Reid slammed for smearing opponents of CRT as racist , terrified radicals",political influencers,protest / speaking out,defending CRT,anti-CRT,
Parents Defending Education fights critical race theory in schools,impacted actors,protest / speaking out,anti-CRT,neutral,
